data;id_marca;vendas;valor_do_veiculo;nome;marca
01/05/2022;9;3;40000;onix;Chevrolet 
01/05/2022;10;2;12000;J2;JaC Motors
01/05/2022;11;5;18000;Clio;Renault
01/06/2022;1;45;26000;Mobi;Fiat
01/06/2022;2;35;30000;Up;Volkswagen
01/06/2022;3;30;20000;Picanto;Kia
01/06/2022;4;20;78000;208;Peugeot 
01/06/2022;1;2;20000;Uno;Fiat
01/06/2022;6;3;23000;March;Nissan
01/06/2022;7;8;160000;Pajero;Mitsubishi
01/06/2022;1;4;80000;Cronos;Fiat
01/06/2022;9;8;42000;onix;Chevrolet 
01/06/2022;10;1;13000;J2;JaC Motors
01/06/2022;11;3;80000;Sandero RS;Renault
01/07/2022;1;40;32000;Mobi;Fiat
01/07/2022;2;35;35000;Up;Volkswagen
01/07/2022;3;38;18000;Picanto;Kia
01/07/2022;4;6;80000;2008;Peugeot 
01/07/2022;5;20;140000;Corolla;Toyota
01/07/2022;2;1;120000;Jetta;Volkswagen
01/07/2022;7;3;75000;Lancer;Mitsubishi
01/07/2022;8;15;250000;WRX;Subaru
01/07/2022;9;3;55000;onix;Chevrolet 
01/07/2022;10;4;10000;J2;JaC Motors
01/07/2022;11;8;35000;Duster;Renault
01/08/2022;1;25;35000;Mobi;Fiat
01/08/2022;2;20;38000;Up;Volkswagen
01/08/2022;3;22;33000;Picanto;Kia
01/08/2022;4;10;78000;208;Peugeot 
01/08/2022;5;10;14000;Corolla;Toyota
01/08/2022;6;1;22000;March;Nissan
01/08/2022;7;3;300000;L200;Mitsubishi
01/08/2022;2;6;60000;Saveiro;Volkswagen
01/08/2022;9;4;45000;onix;Chevrolet 
01/08/2022;10;1;12000;J2;JaC Motors
01/08/2022;11;4;32000;Clio;Renault
01/09/2022;1;20;34000;Mobi;Fiat
01/09/2022;2;21;45000;Up;Volkswagen
01/09/2022;3;18;35000;Picanto;Kia
01/09/2022;4;1;19000;307;Peugeot 
01/09/2022;5;4;120000;Corolla;Toyota
01/09/2022;6;2;30000;March;Nissan
01/09/2022;7;3;70000;Lancer;Mitsubishi
01/09/2022;8;5;240000;Brz;Subaru
01/09/2022;9;4;38000;onix;Chevrolet 
01/09/2022;10;1;10000;J2;JaC Motors
01/09/2022;11;1;32000;Sandero;Renault
01/10/2022;1;15;60000;Mobi;Fiat
01/10/2022;2;17;54000;Up;Volkswagen
01/10/2022;3;19;42000;Picanto;Kia
01/10/2022;4;6;12000;206;Peugeot 
01/10/2022;5;2;60000;Yaris;Toyota
01/10/2022;2;2;45000;Kombi;Volkswagen
01/10/2022;7;3;80000;Lancer;Mitsubishi
01/10/2022;8;10;360000;Forester;Subaru
01/10/2022;9;1;40000;onix;Chevrolet 
01/10/2022;10;2;14000;J2;JaC Motors
01/10/2022;11;6;36000;Clio;Renault
01/11/2022;1;25;64000;Mobi;Fiat
01/11/2022;2;26;58000;Up;Volkswagen
01/11/2022;3;30;46000;Picanto;Kia
01/11/2022;4;15;92000;208;Peugeot 
01/11/2022;5;6;158000;Corolla;Toyota
01/11/2022;6;3;30000;March;Nissan
01/11/2022;1;2;42000;Uno;Fiat
01/11/2022;3;1;89000;Rio;Kia
01/11/2022;9;5;40000;onix;Chevrolet 
01/11/2022;10;1;12000;J2;JaC Motors
01/11/2022;11;10;42000;Clio;Renault
01/12/2022;1;32;72000;Mobi;Fiat
01/12/2022;2;24;68000;Up;Volkswagen
01/12/2022;3;19;49000;Picanto;Kia
01/12/2022;4;1;90000;2008;Peugeot 
01/12/2022;5;3;75000;Yaris;Toyota
01/12/2022;1;1;15000;Palio;Fiat
01/12/2022;7;5;280000;Pajero;Mitsubishi
01/12/2022;8;12;360000;Forester;Subaru
01/12/2022;3;2;45000;Cerato;Kia
01/12/2022;10;1;12000;J2;JaC Motors
01/12/2022;11;6;52000;Sandero;Renault
